Time (s),Thrust (N),Oxidizer Tank Pressure (kPa),Combustion Chamber Pressure (kPa),Injector Pressure Drop (kPa),Oxidizer Mass (kg),Fuel Mass (kg),Oxidizer Mass Flow Rate (kg/s),Fuel Mass Flow Rate (kg/s),Exhaust Mass Flow Rate (kg/s),Oxidizer to Fuel Ratio,Grain ID (cm),Regression Rate (mm/s)
0,0,3712.1794,101.325,0,8.4392857,2.4973969,0,0,0,0,3.89,0
0.001,0,3712.1794,191.15394,-0.42650307,8.4359547,2.4971778,3.3310135,0.21911433,0.047809722,15.202171,3.8911877,0.0059385223
0.002,46.210624,3711.7529,279.7306,-0.43632644,8.4326655,2.4969596,3.2891688,0.21823925,0.09008447,15.07139,3.8923703,0.0059130001
0.003,137.22884,3711.3165,366.71243,-0.43135423,8.4294181,2.4967422,3.2473714,0.21735715,0.13166906,14.940256,3.8935478,0.0058873112
0.004,226.39185,3710.8852,451.93461,-0.42588596,8.4262123,2.4965257,3.2057927,0.21647166,0.17240838,14.809295,3.8947201,0.0058615536
0.005,313.60878,3710.4593,535.30946,-0.42043841,8.4230478,2.4963102,3.1645216,0.21558469,0.2122316,14.678787,3.8958872,0.0058357793
0.006,398.83139,3710.0389,616.79,-0.41503687,8.4199242,2.4960955,3.1236136,0.21469748,0.25110428,14.548906,3.8970492,0.0058100221
0.007,482.03674,3709.6238,696.35345,-0.40968713,8.4168411,2.4958817,3.0831067,0.21381095,0.28901105,14.419779,3.8982061,0.0057843059
0.008,563.21816,3709.2141,773.99258,-0.40439296,8.4137981,2.4956687,3.0430284,0.21292577,0.3259477,14.291499,3.8993578,0.0057586494
0.009,642.37997,3708.8097,849.71071,-0.39915722,8.4107947,2.4954567,3.0033999,0.21204252,0.36191708,14.16414,3.9005044,0.0057330677
0.01,719.53426,3708.4106,923.51863,-0.39398215,8.4078304,2.4952455,2.9642374,0.21116167,0.3969267,14.037763,3.901646,0.0057075735
0.011,794.69876,3708.0166,995.4325,-0.38886955,8.4049049,2.4950352,2.9255542,0.21028364,0.43098728,13.912419,3.9027824,0.0056821781
0.012,867.89535,3707.6277,1065.4725,-0.38382089,8.4020175,2.4948258,2.8873609,0.20940882,0.46411178,13.788153,3.9039138,0.0056568913
0.013,939.17163,3707.2439,1133.6575,-0.3788374,8.3991678,2.4946173,2.8496666,0.20853754,0.49649486,13.665005,3.9050401,0.0056317222
0.014,1008.5314,3706.8651,1200.0121,-0.37392043,8.3963554,2.4944096,2.8124811,0.20767018,0.52799959,13.543018,3.9061615,0.005606681
0.015,1076.0014,3706.4912,1264.5636,-0.36907092,8.3935795,2.4942028,2.7758111,0.20680707,0.55862838,13.422225,3.9072778,0.0055817759
0.016,1141.612,3706.1221,1327.3403,-0.36428965,8.3908399,2.4939969,2.7396624,0.2059485,0.58839626,13.302657,3.9083892,0.0055570148
0.017,1205.3942,3705.7578,1388.3717,-0.35957732,8.3881358,2.4937918,2.7040397,0.20509477,0.61731879,13.184343,3.9094957,0.0055324051
0.018,1267.3801,3705.3982,1447.6882,-0.3549345,8.3854669,2.4935875,2.6689472,0.20424614,0.6454119,13.067308,3.9105973,0.0055079542
0.019,1327.6027,3705.0433,1505.3209,-0.35036169,8.3828325,2.4933841,2.6343885,0.20340289,0.67269178,12.951578,3.911694,0.005483669
0.02,1386.0963,3704.6929,1561.301,-0.34585934,8.3802321,2.4931816,2.6003664,0.20256529,0.69918287,12.837177,3.9127859,0.0054595565
0.021,1442.906,3704.3471,1615.6582,-0.34142782,8.3776653,2.4929798,2.5668838,0.2017336,0.72497352,12.724126,3.9138731,0.0054356235
0.022,1498.0509,3704.0056,1668.4247,-0.33706763,8.3751313,2.4927789,2.533944,0.20090812,0.75000237,12.612452,3.9149554,0.0054118775
0.023,1551.5649,3703.6686,1719.6324,-0.33277904,8.3726298,2.4925788,2.5015489,0.20008909,0.77428543,12.502175,3.9160331,0.0053883251
0.024,1603.4818,3703.3358,1769.3137,-0.32856227,8.3701601,2.4923795,2.4696999,0.19927677,0.79783869,12.393316,3.9171061,0.0053649729
0.025,1653.8355,3703.0072,1817.5008,-0.32441751,8.3677217,2.4921811,2.4383982,0.19847142,0.82067811,12.285891,3.9181745,0.0053418273
0.026,1702.6597,3702.6828,1864.2259,-0.32034489,8.365314,2.4919834,2.4076446,0.19767327,0.84281959,12.17992,3.9192382,0.0053188945
0.027,1749.9881,3702.3625,1909.521,-0.31634452,8.3629366,2.4917865,2.3774396,0.19688257,0.86427894,12.07542,3.9202975,0.0052961809
0.028,1795.8542,3702.0461,1953.418,-0.31241645,8.3605888,2.4915904,2.3477835,0.19609956,0.88507183,11.972406,3.9213522,0.0052736925
0.029,1840.2913,3701.7337,1995.9487,-0.30856071,8.3582701,2.4913951,2.3186761,0.19532448,0.90521382,11.870894,3.9224025,0.0052514354
0.03,1883.3324,3701.4251,2037.1445,-0.30477726,8.35598,2.4912005,2.2901173,0.19455756,0.92472034,11.770898,3.9234484,0.0052294156
0.031,1925.0118,3701.1204,2077.0355,-0.30106607,8.3537179,2.4910067,2.2621062,0.19379903,0.94365127,11.672433,3.9244899,0.0052076389
